"Add Google website verification meta tag","បន្ថែម​ស្លាក​មេតា​ការ​ផ្ទៀងផ្ទាត់​គេហ​ទំព័រ Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","បាន​បន្ថែម​ស្លាក​មេតា​ទៅ HTML នៅ​លើ​ទំព័រ​បណ្ដាញ​ដែល​រាយ​បញ្ជី​ខាងក្រោម។ ជំហាន​នេះ​អាច​ឲ្យ Google ផ្ទៀងផ្ទាត់​ភាព​ជា​ម្ចាស់​ដែន​នៅ​លើ​ទំព័រ​​បណ្ដាញ​របស់​អ្នក។"
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","ភ្ជាប់​គណនី Magento របស់​អ្នក​ទៅ​មជ្ឈមណ្ឌល​ពាណិជ្ជកម្ម​ដើម្បី​ចាប់ផ្ដើម​នាំចូល​ទិន្នន័យ​ផលិតផល​របស់​អ្នក​​តាមរយៈ API ​ការ​ផ្ទុក។ បន្ទាប់​ពី​អ្នក​បាន​ភ្ជាប់​គណនី Magento និង​មជ្ឈមណ្ឌល​ពាណិជ្ជកម្ម​របស់​អ្នក​រួចរាល់​ហើយ ព័ត៌មាន​ការ​ផ្ទុក​ទាំងឡាយ​ដែល​​បាន​ធ្វើ​បច្ចុប្បន្នភាព​នៅ​ក្នុង​​កន្លែង​ផ្ទុក Magento ក៏​នឹង​ត្រូវ​ធ្វើ​បច្ចុប្បន្នភាព​​នៅ​ក្នុង​មជ្ឈមណ្ឌល​ពាណិជ្ជកម្ម​ផង​ដែរ។"
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","ចាប់ផ្ដើម​ដោយ​ចុច "%s" ខាងក្រោម។ គណនី API Magento ថ្មី​នឹង​ត្រូវ​បង្កើត​ឡើង​ដោយ​ស្វ័យប្រវត្តិ និង​ព័ត៌មាន​​ការ​ផ្ទុក និង​លិខិត​សម្គាល់​របស់​អ្នក​នឹង​ត្រូវ​ដាក់​ស្នើ​ទៅ​មជ្ឈមណ្ឌល​ពាណិជ្ជកម្ម​តាមរយៈ​ការ​ភ្ជាប់​សុវត្ថិភាព​មួយ។ បើ​អ្នក​មិនទាន់​​មាន​គណនី​មជ្ឈមណ្ឌល​ពាណិជ្ជកម្ម​​​ទេ សូម​ធ្វើ​តាម​ព័ត៌មាន​លេចឡើង​អំពី​ការ​ចុះឈ្មោះ​ដើម្បី​បង្កើត​គណនី​ថ្មី។ ចំណាំ៖ បើ​​មិន​បង្កើត​តំណ​ទេ នោះ​ព័ត៌មាន API របស់​អ្នក​នឹង​ត្រូវ​លុប​ចេញ​បន្ទាប់​ពី ៦០ ថ្ងៃ។"
"Google Shopping","ទិញ​ទំនិញ​តាម Google"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle ទិញ​ទំនិញ%s ជួយ​អាជីវកម្ម​​​ដឹង​ពី​អ្វី​ដែល​អតិថិជន​ចង់បាន​​ដើម្បី​ទទួល​បាន​​អតិថិជន​ដែល​ត្រឹមត្រូវ​សម្រាប់​ផលិតផល​ដោយ​ការ​ផ្សាយ​ពាណិជ្ជកម្ម​ផលិតផល​ដែល​ទាក់ទង​នៅ​ពេល​ចាំបាច់​បំផុត។ ប្រើ​ផ្នែក​បន្ថែម​នេះ​ដើម្បី​បង្ហោះ​ទិន្នន័យ​​​ការ​​ផ្ទុក និង​ផលិតផល​របស់​អ្នក​ទៅ​មជ្ឈមណ្ឌល​ពាណិជ្ជកម្ម​របស់ Google និង​​​អាច​រក​បាន​នៅ​លើ​កម្មវិធី Google ទិញទំនិញ និង​សេវាកម្ម Google ផ្សេង​ៗ​ទៀត ហើយ​អនុញ្ញាត​​ឲ្យ​អ្នក​​ទទួល​បាន​អតិថិជន​ថ្មី​​រាប់​លាន​នាក់​ដែល​កំពុង​ស្វែងរក​អ្វី​ដែល​អ្នក​លក់។"
"Launch","បើក"
"Learn More","ស្វែងយល់បន្ថែម"
"Google Shopping Connect","Google ភ្ជាប់​ការ​ទិញ"
"Retrieve shop information","ទៅ​រក​ព័ត៌មាន​ការ​ទិញ"
"Retrieve basic shop information","ទៅ​រក​ព័ត៌មាន​ការ​ទិញ​មូលដ្ឋាន"
"Retrieve product information","ទៅ​រក​ព័ត៌មាន​ផលិតផល"
