"Add Google website verification meta tag","Додај мета ознака за проверка од веб-сајтот на Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Во HTML кодот на сајтовите што се наведени подолу е додадена мета ознака. Овој чекор му овозможува на Google да ја потврди сопственоста на доменот на вашите сајтови."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Поврзете ја вашата сметка на Magento со Merchant Center за да започнете да ги увезувате вашите податоци за производите преку API на продавницата. Откако ќе ги поврзете вашите сметки на Magento и Merchant Center, сите информации за продавниците што ќе ги ажурирате во вашата продавница на Magento ќе се ажурираат и во Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Започнете така што ќе кликнете на „%s“ подолу. Автоматски ќе се генерира нова API сметка на Magento, а информациите и акредитивите за вашата продавница ќе бидат доставени до Merchant Center преку безбедна врска. Следете ги инструкциите за регистрирање за да создадете сметка на Merchant Center - ако не создадете нова сметка, вашите API информации ќе бидат избришани по 60 дена."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s им помага на бизнисите да ја искористат моќта на рекламирањето според намерите на корисниците и да им понудат релевантни реклами за производи на вистинските луѓе кога тоа е најважно. Користете ја оваа екстензија за да ги испратите податоците за вашата продавница и производите на Google Merchant Center и да ги направите достапни на Google Shopping и други услуги од Google, што ќе ви овозможи да допрете до милиони нови корисници кои го бараат она што го продавате."
"Launch","Активирај"
"Learn More","Дознајте повеќе"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Добијте информации за продавницата"
"Retrieve basic shop information","Добијте основни информации за продавницата"
"Retrieve product information","Добијте информации за производот"
