"Add Google website verification meta tag","Google İnternet sitesi doğrulama meta etiketi ekle"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Aşağıdaki listede yer alan sitelerde HTML'e bir meta etiket eklendi. Google, bu adım sayesinde sitelerinizde alan sahipliğini doğrular."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Ürün verilerinizi mağaza API'si aracılığıyla içe aktarmaya başlamak için Magento hesabınızı Merchant Center'a bağlayın. Magento ve Merchant hesaplarınızı bağladıktan sonra Magento mağazanızda güncellenen tüm mağaza bilgileri Merchant Center'da da güncellenir."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Aşağıdan "%s" öğesini tıklayarak başlayın. Otomatik olarak yeni bir Magento API hesabı oluşturulur ve mağaza bilgileri ile kimlik bilgileriniz güvenli bir bağlantı aracılığıyla Merchant Center'a gönderilir. Henüz Merchant Center hesabınız yoksa yeni bir hesap oluşturmak için kayıt sırasında gereken talimatları uygulayın. Not: Bağlantı oluşturulmazsa API bilgileriniz 60 gün sonra silinir."
"Google Shopping","Google Alışveriş"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Alışveriş%s sayesinde işletmeler, en önemli anlarda alakalı ürün reklamlarıyla doğru kullanıcılara erişmek için müşterilerin satın alma amacının gücünden yararlanabiliyor. Mağaza ve ürün verilerinizi Google Merchant Center'a yükleyip bunları Google Alışveriş ve diğer Google hizmetlerinde kullanılabilir hale getirmek için bu uzantıyı kullanın. Bu sayede sattığınız ürün ve hizmetleri arayan milyonlarca yeni müşteriye ulaşabilirsiniz."
"Launch","Lansman"
"Learn More","Daha Fazla Bilgi"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Mağaza bilgilerini al"
"Retrieve basic shop information","Temel mağaza bilgilerini al"
"Retrieve product information","Ürün bilgilerini al"
