"Add Google website verification meta tag","Добавяне на мета маркер на Google за удостоверяване на уебсайтове"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Добавихме мета маркер към HTML кода на посочените по-долу сайтове. Това позволява на Google да потвърди собствеността върху домейна на сайтовете ви."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Свържете профила си в Magento с този в Google Merchant Center, за да започнете да импортирате данните за продуктите си чрез приложния програмен интерфейс (API) на магазина. След като свържете двата профила, всяко актуализиране на информация в магазина ви в Magento ще се отразява и в Google Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Започнете, като кликнете върху „%s“ по-долу. Автоматично ще бъде създаден нов профил за приложния програмен интерфейс (API) на Magento и информацията и идентификационните данни за магазина ви ще бъдат изпратени до Google Merchant Center чрез защитена връзка. Ако още нямате профил в Google Merchant Center, следвайте указанията за регистриране, за да създадете нов. Забележка: Ако не свържете двата профила, информацията ви от API ще бъде изтрита след 60 дни."
"Google Shopping","Google Пазаруване"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Пазаруване%s помага на бизнеса да използва силата на потребителското намерение, за да достига до подходящите хора с уместни продуктови реклами в точния момент. Използвайте това разширение, за да качите данните за магазина и продуктите си в Google Merchant Center и да ги направите достъпни за Google Пазаруване и други услуги на Google. Така можете да достигате до милиони нови потребители, които търсят това, което продавате."
"Launch","Стартиране"
"Learn More","Научете повече"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Извличане на информация за магазини"
"Retrieve basic shop information","Извличане на основна информация за магазини"
"Retrieve product information","Извличане на информация за продукти"
